display  D   display_settings.c:191  debug_display_settings           [   0.17529] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17530] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.17531] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17532] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17534] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17535] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17536] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17537] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.17538] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17539] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.17541] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17542] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.17543] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17544] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.17545] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17547] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17548] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17549] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17550] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17551] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17552] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17554] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17555] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17556] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17557] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17558] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17561] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17562] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17564] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17565] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17566] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17567] Single Buffer requirement not met.
